模塊,章節,編號,單元名,單元描述,備註補充,學習目標
課前必讀,發刊詞,1,幫助你跳出普通人的賽道，成為聰明工作，掌控生活的現代人。,"這堂課，幫助你跳脫普通人的賽道，成為聰明工作，掌控生活的現代人。

帶你建立一套「個人化」的人生升級系統：
1. 知識系統（強化你所擅長的事）
2. 時間系統（找到你所熱愛的事）
3. 影響力系統（呈現你的商業價值）","這個最後寫，算是整個課程的發刊詞，免費試看宣傳用。

由雷蒙的故事、成就經歷開場，帶出整個課程的框架（人生 KIT 三圈模型）",
課前必讀,發刊詞,2,課程使用說明書,,最後寫，條列式的使用守則，一種開始訓練前的快速提醒。給點壓力 😆,
個體崛起的新機會：網路和科技,時代趨勢解構,3,職業座標系轉換：從爬山到航海,現代職業發展應該以「圈子、能力、特色」為座標：選擇適合的圈子、累積可提供的價值能力，並放大個人特色來形成市場影響力，而非單靠資歷或組織體系獲取成功。,,職業的典範轉移
個體崛起的新機會：網路和科技,時代趨勢解構,4,財富自由的邏輯：複利和專注力,要實現財富自由，要先時間自由，要時間自由，要先把專注力給掌控,,專注力是最稀缺的資源
個體崛起的新機會：網路和科技,時代趨勢解構,5,這時代最需要的是「內向型人才」,遠距和 AI 時代，內向者將反轉過去的職場弱勢局面。學習如何善用你的內向特質，用寫作與非同步溝通打造職場和人生槓桿。,相信大多學員是內向者，替這些人打點氣。,
個體崛起的新機會：網路和科技,生活黑客＆超級個體,6,新時代的生產力工作法,列出並簡單介紹，我們整堂課會提及的「生產力概念」，以便我們未來提及和溝通時，能快速同步彼此的認知和概念，但重點不是讓你現在把這些背起來，我們不是語言課，我們是一堂幫助你工作和人生升級的實踐課。,在接下來的課程裡，我會和你分享我生產力工作法的實踐和「個人化」。但請記得，這些是雷蒙、我的版本，你的任務和學習目標是，把這些方法論再經由自己的工作難題和生活狀態，調整成最適合自己的樣子，最終組合出一套專屬自己的工作流程。,
個體崛起的新機會：網路和科技,生活黑客＆超級個體,7,數位工具戰隊：最划算的投資,我的數位工具訂閱管理系統，展示我每個月雖然花 20000 多元在訂閱工具上，但每一個幾乎都是像人一樣再幫我解決問題、釋放時間。所以這時代懂得調用工具，非常關鍵,"但不是追新，什麼都用，創造了不是自己的需求

具體實踐則是看【單元 17】",
個體崛起的新機會：網路和科技,生活黑客＆超級個體,8,個人商業模式：不是叫你創業,商業的本質：交換＆問題解決；發展副業並不是只叫你創業；成為某個創業者最好的左右手，也是一種這時代的創業，你甚至不用承擔拋頭露面的風險，還能享受自由彈性的福利。,這單元為初始概念，實際案例會引導學員到： 什麼是好的產品＆超級個體的商業模式？這個單元,
核心軟實力,成長思維,9,成長思維：付費就是撿便宜,最寶貴的資產是注意力，買別人的時間和服務，讓你能快速成長。,,
核心軟實力,成長思維,10,問題分析：控制三分法,面對問題，分成「可控」（標準化）、「半可控」（學習補足）、「不可控」（替代方案），能幫助我們更好做下一步的行動分析。,,
